item_id,title,type,tags,text,bag
20,Responsive grid layout,component,"layout,grid",Adaptive columns with sensible gaps across breakpoints.,"Responsive grid layout component layout,grid Adaptive columns with sensible gaps across breakpoints."
21,Card layout,component,"layout,content",Group related content with clear hierarchy and actions.,"Card layout component layout,content Group related content with clear hierarchy and actions."
22,Tabs,component,"navigation,content",Switch between related views; keep labels short and distinct.,"Tabs component navigation,content Switch between related views; keep labels short and distinct."
23,Accordion,component,"content,disclosure",Hide secondary content behind expandable panels; one open by default.,"Accordion component content,disclosure Hide secondary content behind expandable panels; one open by default."
24,Table with sticky header,component,"data,table",Sticky header and first column for large datasets; keyboard friendly.,"Table with sticky header component data,table Sticky header and first column for large datasets; keyboard friendly."
25,Filter panel,component,"search,filters","Facet filters with clear chips, reset, and apply actions.","Filter panel component search,filters Facet filters with clear chips, reset, and apply actions."
26,Sort control,component,"list,sorting","Expose sort by relevance, date, or price; remember last choice.","Sort control component list,sorting Expose sort by relevance, date, or price; remember last choice."
27,Tag chips,component,"metadata,labels",Clickable tags for filtering and quick context.,"Tag chips component metadata,labels Clickable tags for filtering and quick context."
28,Inline edit,pattern,"editing,inline",Edit in place to reduce context switching; save or cancel clearly.,"Inline edit pattern editing,inline Edit in place to reduce context switching; save or cancel clearly."
29,Undo snackbar,component,"feedback,undo",Offer undo for non-critical destructive actions shortly after change.,"Undo snackbar component feedback,undo Offer undo for non-critical destructive actions shortly after change."
30,Notification center,component,"feedback,notifications",Central list of past alerts with read/unread states.,"Notification center component feedback,notifications Central list of past alerts with read/unread states."
31,File uploader,component,"files,form","Drag and drop, size and type validation, progress, and retry.","File uploader component files,form Drag and drop, size and type validation, progress, and retry."
32,Date picker,component,"calendar,form",Keyboard friendly date selection with clear format and min/max.,"Date picker component calendar,form Keyboard friendly date selection with clear format and min/max."
33,Time picker,component,"time,form",Support 24h and AM/PM; allow direct input with validation.,"Time picker component time,form Support 24h and AM/PM; allow direct input with validation."
34,Progress bar,component,"progress,feedback",Show percent and step milestones; avoid misleading animations.,"Progress bar component progress,feedback Show percent and step milestones; avoid misleading animations."
35,Tooltip,component,"help,hint","Short, on-hover or on-focus explanations; keep accessible.","Tooltip component help,hint Short, on-hover or on-focus explanations; keep accessible."
36,Helper text,pattern,"form,help",Concise guidance under a field; do not repeat label.,"Helper text pattern form,help Concise guidance under a field; do not repeat label."
37,Error page 404,pattern,"errors,routing",Friendly message with search and link back to main sections.,"Error page 404 pattern errors,routing Friendly message with search and link back to main sections."
38,Session timeout warning,pattern,"security,session",Warn before logout; allow extension without losing work.,"Session timeout warning pattern security,session Warn before logout; allow extension without losing work."
39,Two-factor prompt,component,"security,auth",Support authenticator apps and SMS; explain fallback methods.,"Two-factor prompt component security,auth Support authenticator apps and SMS; explain fallback methods."
40,ARIA live region snippet,snippet,"a11y,aria,live",Small code snippet using aria-live polite for dynamic status updates.,"ARIA live region snippet snippet a11y,aria,live Small code snippet using aria-live polite for dynamic status updates."
